,sigUF,mdaPotenciaInstaladakW,mesReferencia,anoReferencia
265,MA,1352580.0,9,2012
266,MA,2802752.0,9,2013
267,MA,3052769.0,9,2014
268,MA,3068605.0,9,2015
269,MA,3592609.43,9,2016
270,MG,18031374.95,12,2006
271,MG,18207831.95,12,2007
272,MG,18403127.45,12,2008
273,MG,18403433.45,12,2009
274,MG,18714031.45,12,2010
275,MG,19500264.0,12,2011
276,MG,19662121.16,12,2012
277,MG,20095486.0,12,2013
278,MG,15486809.0,12,2014
279,MG,15662491.79,12,2015
280,MG,15797899.95,12,2016
281,MG,19546728.45,3,2012
282,MG,19686402.0,3,2013
283,MG,20146682.0,3,2014
284,MG,15574450.0,3,2015
285,MG,15671474.0,3,2016
286,MG,15801826.49,3,2017
287,MG,19593728.45,6,2012
288,MG,19806043.0,6,2013
289,MG,19539469.0,6,2014
290,MG,15653931.0,6,2015
291,MG,15765708.47,6,2016
292,MG,19652361.0,9,2012
293,MG,20038178.0,9,2013
294,MG,15472693.0,9,2014
295,MG,15659935.0,9,2015
296,MG,15792069.15,9,2016
297,MS,7324683.0,12,2006
298,MS,7361447.0,12,2007
299,MS,7375947.0,12,2008
300,MS,7655701.0,12,2009
301,MS,7826471.0,12,2010
302,MS,8224679.0,12,2011
303,MS,8440948.0,12,2012
304,MS,8781922.0,12,2013
305,MS,2100221.0,12,2014
306,MS,2362729.38,12,2015
307,MS,2312411.38,12,2016
308,MS,8297695.0,3,2012
309,MS,8437948.0,3,2013
310,MS,8782685.0,3,2014
311,MS,2106130.0,3,2015
312,MS,2357369.0,3,2016
313,MS,2312411.38,3,2017
314,MS,8426416.0,6,2012
315,MS,8494892.0,6,2013
316,MS,8782687.0,6,2014
317,MS,2246729.0,6,2015
318,MS,2307369.38,6,2016
319,MS,8752486.0,9,2012
320,MS,8661915.0,9,2013
321,MS,2090407.0,9,2014
322,MS,2362729.0,9,2015
323,MS,2360207.38,9,2016
324,MT,1917727.2,12,2006
325,MT,1984299.42,12,2007
326,MT,2027430.62,12,2008
327,MT,2099130.62,12,2009
328,MT,2138459.82,12,2010
329,MT,2584740.0,12,2011
330,MT,2640048.82,12,2012
331,MT,2804909.0,12,2013
332,MT,2842410.0,12,2014
333,MT,2906079.6,12,2015
334,MT,3088606.1,12,2016
335,MT,2617257.82,3,2012
336,MT,2643031.0,3,2013
337,MT,2804909.0,3,2014
338,MT,2893372.0,3,2015
339,MT,2925960.0,3,2016
340,MT,3090647.35,3,2017
341,MT,2617257.82,6,2012
342,MT,2761190.0,6,2013
343,MT,2810309.0,6,2014
344,MT,2904632.0,6,2015
345,MT,2972940.1,6,2016
346,MT,2625758.0,9,2012
347,MT,2804909.0,9,2013
348,MT,2807718.0,9,2014
349,MT,2906080.0,9,2015
350,MT,3086236.1,9,2016
351,PA,7524644.2,12,2006
352,PA,8861181.2,12,2007
353,PA,8753570.4,12,2008
354,PA,8716065.4,12,2009
355,PA,8736433.4,12,2010
356,PA,8872744.0,12,2011
357,PA,8885729.6,12,2012
358,PA,9059697.0,12,2013
359,PA,9074721.0,12,2014
360,PA,9491915.33,12,2015
361,PA,12966433.08,12,2016
362,PA,8883553.4,3,2012
363,PA,9054730.0,3,2013
364,PA,9059889.0,3,2014
365,PA,9085097.0,3,2015
366,PA,9851245.0,3,2016
367,PA,13715633.48,3,2017
368,PA,8883553.4,6,2012
369,PA,9054730.0,6,2013
370,PA,9059889.0,6,2014
371,PA,9107258.0,6,2015
372,PA,10538390.95,6,2016
373,PA,8885585.0,9,2012
374,PA,9058286.0,9,2013
375,PA,9074721.0,9,2014
376,PA,9127926.0,9,2015
377,PA,12927415.08,9,2016
378,PB,50936.0,12,2006
379,PB,61136.0,12,2007
380,PB,61136.0,12,2008
381,PB,115886.0,12,2009
382,PB,115886.0,12,2010
383,PB,637470.0,12,2011
384,PB,640470.0,12,2012
385,PB,641470.0,12,2013
386,PB,641476.0,12,2014
387,PB,642578.8,12,2015
388,PB,657578.8,12,2016
389,PB,637470.0,3,2012
390,PB,640470.0,3,2013
391,PB,641470.0,3,2014
392,PB,642276.0,3,2015
393,PB,645579.0,3,2016
394,PB,657578.8,3,2017
395,PB,637470.0,6,2012
396,PB,641470.0,6,2013
397,PB,641470.0,6,2014
398,PB,642270.0,6,2015
399,PB,657578.8,6,2016
400,PB,122610.0,9,2012
401,PB,641470.0,9,2013
402,PB,641470.0,9,2014
403,PB,642270.0,9,2015
404,PB,657578.8,9,2016
405,PE,2382832.7,12,2006
406,PE,2388832.7,12,2007
407,PE,2418564.7,12,2008
408,PE,2704028.7,12,2009
409,PE,2716941.7,12,2010
410,PE,2806382.0,12,2011
411,PE,2817094.7,12,2012
412,PE,3401067.0,12,2014
413,PE,3873270.95,12,2015
414,PE,4152131.95,12,2016
415,PE,2816455.7,3,2012
416,PE,3210354.0,3,2013
417,PE,3394958.0,3,2014
418,PE,3521560.0,3,2015
419,PE,3875791.0,3,2016
420,PE,4156381.59,3,2017
421,PE,2815855.7,6,2012
422,PE,3190834.0,6,2013
423,PE,3400598.0,6,2014
424,PE,3537328.0,6,2015
425,PE,4071300.95,6,2016
426,PE,2816730.0,9,2012
427,PE,3191201.0,9,2013
428,PE,3400960.0,9,2014
429,PE,3550626.0,9,2015
430,PE,4097631.95,9,2016
431,PI,290010.0,12,2006
432,PI,290010.0,12,2007
433,PI,290010.0,12,2008
434,PI,316810.0,12,2009
435,PI,316810.0,12,2010
436,PI,316944.0,12,2011
437,PI,316944.0,12,2012
438,PI,318115.0,12,2013
439,PI,388115.0,12,2014
440,PI,814186.0,12,2015
441,PI,1196286.0,12,2016
442,PI,316944.0,3,2012
443,PI,316944.0,3,2013
444,PI,318115.0,3,2014
445,PI,388115.0,3,2015
446,PI,1016886.0,3,2016
447,PI,1292886.0,3,2017
448,PI,316944.0,6,2012
449,PI,316944.0,6,2013
450,PI,318115.0,6,2014
451,PI,574036.0,6,2015
452,PI,1016886.0,6,2016
453,PI,637470.0,9,2012
454,PI,317136.0,9,2013
455,PI,388115.0,9,2014
456,PI,603636.0,9,2015
457,PI,1150286.0,9,2016
458,PR,17468332.0,12,2006
459,PR,17547298.0,12,2007
460,PR,17616126.0,12,2008
461,PR,17641764.0,12,2009
462,PR,17787354.0,12,2010
463,PR,17753342.0,12,2011
464,PR,18130570.2,12,2012
465,PR,18232699.0,12,2013
466,PR,16117214.0,12,2014
467,PR,16219526.21,12,2015
468,PR,16641322.92,12,2016
469,PR,17761687.2,3,2012
470,PR,18141048.0,3,2013
471,PR,18233786.0,3,2014
472,PR,16140168.0,3,2015
473,PR,16227364.0,3,2016
474,PR,16643656.32,3,2017
475,PR,17761687.2,6,2012
476,PR,18150542.0,6,2013
477,PR,18234011.0,6,2014
478,PR,16191484.0,6,2015
479,PR,16248359.21,6,2016
480,PR,17776227.0,9,2012
481,PR,18231871.0,9,2013
482,PR,16114439.0,9,2014
483,PR,16193724.0,9,2015
484,PR,16626567.82,9,2016
485,RJ,7404536.4,12,2006
486,RJ,7672987.4,12,2007
487,RJ,7763037.4,12,2008
488,RJ,7827536.4,12,2009
489,RJ,7870648.4,12,2010
490,RJ,8667164.0,12,2011
491,RJ,8699748.4,12,2012
492,RJ,8825077.0,12,2013
493,RJ,8644056.0,12,2014
494,RJ,8443724.18,12,2015
495,RJ,8447617.78,12,2016
496,RJ,8683482.4,3,2012
497,RJ,8700317.0,3,2013
498,RJ,9052117.0,3,2014
499,RJ,8877570.0,3,2015
500,RJ,8443724.0,3,2016
501,RJ,8451853.73,3,2017
502,RJ,8695982.4,6,2012
503,RJ,8618687.0,6,2013
504,RJ,9058745.0,6,2014
505,RJ,8918218.0,6,2015
506,RJ,8444919.38,6,2016
507,RJ,8878279.0,9,2012
508,RJ,8824091.0,9,2013
509,RJ,8642984.0,9,2014
510,RJ,8924060.0,9,2015
511,RJ,8445493.78,9,2016
512,RN,88956.0,12,2006
513,RN,88956.0,12,2007
514,RN,147426.0,12,2008
515,RN,582076.0,12,2009
516,RN,582076.0,12,2010
517,RN,743320.0,12,2011
518,RN,926704.0,12,2012
519,RN,930251.0,12,2013
520,RN,2135054.0,12,2014
521,RN,2909859.84,12,2015
522,RN,3834199.84,12,2016
523,RN,847620.0,3,2012
524,RN,947204.0,3,2013
